"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000106633",2.39840551104455,29.9798439238596,4.1859975471206,7.1619353777409,7.95459210405865e-13,5.65491952677529e-09,"GCK"
"ENSG00000184324",4.36626541017572,30,4.17962152354903,7.17768339333418,7.09025167181005e-13,5.65491952677529e-09,"CSAG2"
"ENSG00000164362",2.54256024629751,22.5049621997399,4.1679672887957,5.39950547602366,6.6824844456418e-08,0.000316705212827117,"TERT"
"ENSG00000147400",16.0313309283914,1.72952542485012,0.447362636452305,3.86604799758352,0.000110613178033965,0.393174541321729,"CETN2"
"ENSG00000145075",3.50619330035562,2.59324480921058,0.723126581291998,3.58615611194553,0.000335588106756415,0.908122363388704,"CCDC39"
"ENSG00000158423",2.36598040028151,3.12922123298242,0.891253525198788,3.51103377940016,0.000446367674529589,0.908122363388704,"RIBC1"
"ENSG00000253281",4.44991604364551,-14.6676748825223,4.1781123861351,-3.51059845378895,0.000447099208307844,0.908122363388704,"ENSG00000253281"
"ENSG00000104549",7.24353745085361,2.03596150887465,0.606674545205155,3.35593692691716,0.000790966055076663,0.957587178942054,"SQLE"
"ENSG00000109881",2.53087884405542,2.37358303601261,0.693202910302595,3.42408117556301,0.000616881912025801,0.957587178942054,"CCDC34"
"ENSG00000138587",2.74300419496614,2.93580385770656,0.880889597779468,3.33277162666818,0.00085985490613607,0.957587178942054,"MNS1"
"ENSG00000163071",9.0224027360612,2.97405379371801,0.893717424187148,3.32773392711121,0.000875554460982326,0.957587178942054,"SPATA18"
"ENSG00000188229",93.5334098896874,0.820261176663104,0.238738462947457,3.43581493545777,0.000590774376387682,0.957587178942054,"TUBB4B"
"ENSG00000198848",24.135068172047,2.63336904622204,0.785904398187628,3.35074985239279,0.000805930683778726,0.957587178942054,"CES1"
"ENSG00000000003",65.1514896181795,0.167214521453812,0.304222864919876,0.549644818767488,0.582563011810337,0.99974327408442,"TSPAN6"
"ENSG00000000419",15.6190787592968,0.0039593878930051,0.243820341991374,0.0162389563588799,0.987043756875084,0.99974327408442,"DPM1"
"ENSG00000000457",84.6559959626124,-0.375820736097051,0.657567382317312,-0.571531901069413,0.567639142193795,0.99974327408442,"SCYL3"
"ENSG00000000460",2.84381875376811,0.408697227937764,0.617683500211003,0.66166123556506,0.508188353317079,0.99974327408442,"C1orf112"
"ENSG00000000938",41.0340938957658,-0.293954470103402,0.838561132448919,-0.350546261600442,0.725928778072065,0.99974327408442,"FGR"
"ENSG00000000971",71.663273596237,0.204681480097741,0.422944859916122,0.483943651988899,0.628425859593373,0.99974327408442,"CFH"
"ENSG00000001036",15.1944404430728,0.247768348286868,0.30610554623993,0.809421297099476,0.418272856118822,0.99974327408442,"FUCA2"
"ENSG00000001084",51.6504697581107,0.267446490552694,0.342930216017382,0.779886046959296,0.435457952058364,0.99974327408442,"GCLC"
"ENSG00000001167",11.1531223905485,0.109806695906651,0.377608856507952,0.290794810593481,0.771208254471664,0.99974327408442,"NFYA"
"ENSG00000001460",5.12087486180932,0.579246715362894,0.479194086054513,1.20879353944489,0.22674217426393,0.99974327408442,"STPG1"
"ENSG00000001461",28.4054413827583,-0.0115181819418632,0.233727999254044,-0.049280282972618,0.960695932332275,0.99974327408442,"NIPAL3"
"ENSG00000001497",10.950410956289,0.130982593054225,0.378870991464135,0.345718189054399,0.729554513338577,0.99974327408442,"LAS1L"
"ENSG00000001561",30.4313202128941,0.196651702068926,0.492636782328552,0.399181931035296,0.689759156051677,0.99974327408442,"ENPP4"
"ENSG00000001617",38.1389541085537,0.179211643030554,0.248920004049947,0.719956773721544,0.471551610501275,0.99974327408442,"SEMA3F"
"ENSG00000001626",4.97146537286192,-1.42758297394605,0.550428692418564,-2.59358386219531,0.00949813719543087,0.99974327408442,"CFTR"
"ENSG00000001629",17.0483230420838,0.0526024862959485,0.365382523550446,0.143965523541758,0.885527694205818,0.99974327408442,"ANKIB1"
"ENSG00000001631",10.2336434167312,0.0170755549883492,0.291817133126714,0.0585145731691313,0.953338754674048,0.99974327408442,"KRIT1"
"ENSG00000002016",3.02653206705148,0.459635434043128,0.661522901621238,0.694814091721797,0.487171815878011,0.99974327408442,"RAD52"
"ENSG00000002330",5.06211995145099,-0.229922793219978,0.440646454471732,-0.521785188299359,0.601819903580425,0.99974327408442,"BAD"
"ENSG00000002549",31.2405491588283,0.248452860335983,0.186477335917439,1.3323488300261,0.182745588369145,0.99974327408442,"LAP3"
"ENSG00000002586",33.3325331715786,0.118531590173196,0.255389906460303,0.464120104886057,0.642561698241278,0.99974327408442,"CD99"
"ENSG00000002587",31.0824303982824,0.185863471723248,0.332658907917969,0.558720861817657,0.57635223940461,0.99974327408442,"HS3ST1"
"ENSG00000002822",5.4672453895104,0.0294804389022134,0.431635093995357,0.0682994485673829,0.945547263085194,0.99974327408442,"MAD1L1"
"ENSG00000002834",69.4172063458071,-0.0174385269698091,0.188243313701073,-0.0926382277646324,0.926190972950959,0.99974327408442,"LASP1"
"ENSG00000002919",11.5110218179253,0.261432406259656,0.31517333900876,0.829487694237964,0.406828497258313,0.99974327408442,"SNX11"
"ENSG00000003056",19.7757790078828,0.309147044872456,0.258416881221645,1.19631133775389,0.23157508597464,0.99974327408442,"M6PR"
"ENSG00000003147",9.74836277297651,-0.0919440633936335,0.401470888019353,-0.229018008870425,0.818854919020505,0.99974327408442,"ICA1"
"ENSG00000003249",6.93247431426966,-0.183028910701294,0.640841595244424,-0.285607101754194,0.775179063528143,0.99974327408442,"DBNDD1"
"ENSG00000003393",10.661674428963,-0.0168757170129576,0.339623228544765,-0.0496895253168271,0.960369803735662,0.99974327408442,"ALS2"
