"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2297.36849732397,0.569935443787025,0.339699800061547,1.67776208194342,0.0933935544078189,0.336916754597524
"ENSG00000000419",526.075849452347,0.267955940546471,0.169470533378647,1.58113587775037,0.113846972905113,0.36681932351956
"ENSG00000000457",2305.1750699474,-1.88748071076863,0.568299384637889,-3.32127882202671,0.000896059719481019,0.039410580288176
"ENSG00000000460",101.056965824324,-0.141526003099397,0.30881898561599,-0.45828141950891,0.646750271321908,0.819326227199785
"ENSG00000000938",1261.97397747375,-0.325831735306454,0.75413864414646,-0.432058133919436,0.665699161939798,0.833119019376382
"ENSG00000000971",2585.51151069312,0.719522748560413,0.475955261557105,1.51174449927598,0.130598873447136,0.391052847551626
"ENSG00000001036",564.164462777433,0.520714195074752,0.255297635325392,2.03963579377095,0.041386614214811,0.230218949317081
"ENSG00000001084",1853.59050159956,0.490538186044192,0.386072008654213,1.27058728695233,0.203875512035498,0.475061245972988
"ENSG00000001167",386.735868977158,0.0338140023305178,0.283566977972943,0.119245204685802,0.905081093957075,0.959679674860684
"ENSG00000001460",165.8683986503,0.188169876946014,0.395157048787,0.476190105993635,0.633938947595276,0.812686347011012
"ENSG00000001461",993.566831509249,0.0687038138941317,0.266001321879269,0.258283731106098,0.79618794110496,0.906738890994568
"ENSG00000001497",387.148941741028,0.719180730859562,0.345083381136375,2.08407813929279,0.0371530601789286,0.217813420119694
"ENSG00000001561",1021.22793933462,0.632422199413159,0.47166427556873,1.34083124835051,0.179975248171613,0.447863163077539
"ENSG00000001617",1285.90335972607,0.168276782577717,0.285935223713244,0.588513651422243,0.55618757352475,0.763132147167047
"ENSG00000001626",172.929226100529,0.173436281893066,0.36635035459745,0.473416443348718,0.63591610078181,0.813593289232608
"ENSG00000001629",573.736262311349,0.466563209103311,0.325275227647453,1.43436440726741,0.15146829918499,0.415443749971671
"ENSG00000001630",21.953351876243,0.54811846064137,0.495855896979768,1.10539869341059,0.268986869682939,0.537300246007833
