"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000218475",10.6941230222974,29.5300408561471,4.17106676557759,7.07973343890071,1.44432009181162e-12,1.50394919475986e-08,"ENSG00000218475"
"ENSG00000248374",4.27375784569129,29.4706386706607,4.17120237681132,7.06526224536474,1.60312947138985e-12,1.50394919475986e-08,"ENSG00000248374"
"ENSG00000257748",7.15902136006347,29.5541850094175,4.17121883765057,7.08526360272765,1.38779881207116e-12,1.50394919475986e-08,"ENSG00000257748"
"ENSG00000262020",3.60621012422925,26.1964055337429,4.16507789611335,6.28953555903195,3.18417166957742e-10,2.24038318671467e-06,"ENSG00000262020"
"ENSG00000263670",4.35807110668631,25.1646803298852,4.1815420030858,6.01803839619803,1.76543324043555e-09,9.93727062376361e-06,"MIR4457"
"ENSG00000222524",8.61996691035448,24.6270819280866,4.18590527232465,5.88333474503351,4.02081544109442e-09,1.88603049623602e-05,"RN7SKP109"
"ENSG00000214976",4.70180013292062,23.824707693373,4.18591793211988,5.69163277439303,1.25830251822528e-08,4.42670825911653e-05,"VDAC2P1"
"ENSG00000238452",3.18305561648703,23.8460677551215,4.18283460747553,5.70093489054145,1.19152142957731e-08,4.42670825911653e-05,"RNU7-144P"
"ENSG00000202339",14.3158811009557,23.5579988352662,4.17964792893124,5.63635962546017,1.73682486156004e-08,5.43124432263842e-05,"RNU4-45P"
"ENSG00000259360",3.36962342859311,23.3391198189981,4.18592891564185,5.57561303341422,2.46659683388171e-08,6.94199012927669e-05,"ENSG00000259360"
"ENSG00000265770",3.05617008639841,23.1952288689878,4.18593289869849,5.54123284589674,3.00349525333787e-08,7.68457912817646e-05,"RN7SL660P"
"ENSG00000132821",191.578906491369,2.24560986614008,0.448267047889758,5.00953589319449,5.4561450633798e-07,0.00127964788886468,"VSTM2L"
"ENSG00000222976",18.3625791299176,18.4977496043519,4.18752540104113,4.41734624457511,9.99201003321196e-06,0.0216319331057475,"RN7SKP94"
"ENSG00000258265",39.6849418532628,-3.82054401366803,0.988907383802067,-3.86339921841733,0.000111820038774652,0.224790226519558,"ENSG00000258265"
"ENSG00000009765",95.8712944668844,1.85961014762283,0.488066152361242,3.81016003389319,0.000138876865077338,0.260570032715773,"IYD"
