"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000268922",43.2905555653368,29.470473479245,4.18309236729887,7.04514050648966,1.8527445405981e-12,5.11320438314264e-08,"ENSG00000268922"
"ENSG00000223941",16.6544150018183,28.7640981856799,4.17146929587399,6.89543567158232,5.36999699634304e-12,7.41005885525377e-08,"LINC01014"
"ENSG00000235901",8.88489382171925,26.4411554155423,4.17487866573159,6.33339493973266,2.39824630570916e-10,2.20622671816538e-06,"ENSG00000235901"
"ENSG00000225366",4.91393209842277,25.9873150449946,4.16974930363022,6.23234471731186,4.59504941228987e-10,3.17035434200939e-06,"TDGF1P3"
"ENSG00000222524",8.61996691035448,25.0189088199666,4.18590527232465,5.97694099419319,2.27366504409206e-09,1.25497215773705e-05,"RN7SKP109"
"ENSG00000263670",4.35807110668631,24.2777238751524,4.18154200308581,5.80592610506757,6.40111903832824e-09,2.94430138699638e-05,"MIR4457"
"ENSG00000214976",4.70180013292062,24.0737926182408,4.18591793211988,5.75113822311588,8.86446014843494e-09,3.49487673109296e-05,"VDAC2P1"
"ENSG00000238452",3.18305561648703,23.7237566967056,4.18283460747553,5.67169370127775,1.41392610966243e-08,4.3357258638293e-05,"RNU7-144P"
"ENSG00000259360",3.36962342859311,23.7456679097795,4.18592891564185,5.67273558350391,1.40535060163179e-08,4.3357258638293e-05,"ENSG00000259360"
"ENSG00000265770",3.05617008639841,23.5738935831061,4.18593289869849,5.63169409391055,1.78447996454641e-08,4.92480780615517e-05,"RN7SL660P"
"ENSG00000187957",41.2819899912895,3.02353317065667,0.627856141744558,4.81564640310039,1.4672414182336e-06,0.00368117533276461,"DNER"
"ENSG00000091181",30.9206263379112,3.8831833740023,0.882324626715401,4.4010823867153,1.07712213980577e-05,0.0247720140119664,"IL5RA"
"ENSG00000131044",56.3582460851105,2.97772019998869,0.731065429200783,4.07312407487795,4.63866964664853e-05,0.0984753883909277,"TTLL9"
"ENSG00000198848",889.344186755061,2.66398238333863,0.666705457493458,3.99574107785786,6.44921904473444e-05,0.127132533711844,"CES1"
"ENSG00000048342",181.6812849544,2.59223695299869,0.659195205844416,3.93242688966175,8.40925594822432e-05,0.145049153536934,"CC2D2A"
"ENSG00000166592",393.769053645966,2.04900510079453,0.5200966552989,3.93966213764048,8.15964408841625e-05,0.145049153536934,"RRAD"
"ENSG00000114455",78.6268258550281,3.83708674178318,0.995086318261297,3.85603406595689,0.000115241435300972,0.187084301849189,"HHLA2"
"ENSG00000117245",14.8619628269854,2.93469410820916,0.765794955502199,3.83221916927439,0.000126992525744571,0.192119211615294,"KIF17"
"ENSG00000137098",93.0395078585956,3.08965452541807,0.808344238849096,3.82220145444106,0.00013226556347165,0.192119211615294,"SPAG8"
"ENSG00000118307",123.936695541906,3.33754396913429,0.876595845520978,3.80739195398618,0.000140440064851745,0.193793245488923,"CASC1"
"ENSG00000132321",48.556235181348,2.32473676291726,0.622644390151594,3.73365086024667,0.000188724065261098,0.231063451922716,"IQCA1"
"ENSG00000158445",7.28671255739714,3.16716850118684,0.846963285046433,3.73944013525121,0.000184430562185528,0.231063451922716,"KCNB1"
"ENSG00000164761",4.91338307887814,-2.9074763267251,0.782035287323487,-3.71783265263634,0.000200939301621319,0.231063451922716,"TNFRSF11B"
"ENSG00000223781",17.3598308763615,3.12110769633415,0.838441799844775,3.7225096564985,0.000197252362440041,0.231063451922716,"ENSG00000223781"
"ENSG00000171595",127.117578678945,2.68020120523726,0.728929852306069,3.67689867105604,0.000236086764854615,0.232697233444916,"DNAI2"
"ENSG00000180914",56.743740798968,3.09210103591659,0.840552562731069,3.6786527970005,0.000234469204511885,0.232697233444916,"OXTR"
"ENSG00000206199",99.0623473530244,2.35543313524539,0.63617465496437,3.70249445944575,0.00021349002435527,0.232697233444916,"ANKUB1"
"ENSG00000228695",248.272650210325,2.32522772113266,0.630984480586931,3.68507909888651,0.000228631624432791,0.232697233444916,"CES1P1"
"ENSG00000100228",157.897463411585,2.23196997183879,0.609065550276771,3.66458088267271,0.000247743940901448,0.23576680279304,"RAB36"
"ENSG00000224511",21.2713856587198,3.33360258655349,0.914253228839541,3.6462573840563,0.000266087465904502,0.242306677244615,"LINC00365"
"ENSG00000260228",19.2836742341102,1.58669168075157,0.435851989994335,3.64043693083102,0.000272175773410503,0.242306677244615,"ENSG00000260228"
"ENSG00000007516",234.333959302076,2.34923357127047,0.650613880988591,3.61079534254767,0.000305259472603733,0.255289421967207,"BAIAP3"
"ENSG00000158428",43.6149399228615,2.58405668843393,0.714102493879681,3.61860756765445,0.000296192384796858,0.255289421967207,"C2orf62"
